Row ID,Order ID,Data da Venda,Prioridade,Faturamento,Desconto,Forma de Envio,Lucro,Preço Unitário,Custo de Envio,Nome do Cliente,Cidade,CEP,Estado,Região,País,Segmento do Cliente,Categoria do Produto,Sub-Categoria do Produto,Nome do Produto,Embalagem,Margem,Data de Envio,Foi devolvido?
674,4706,2026-12-28,Não Especificada,2116.7,0.02,Aéreo Normal,488.818,67.28,19.99,Bradley Drucker,Recife,90069,Pernambuco,Nordeste,Brasil,Pequenas Empresas,Material de Escritório,Capas e Acessórios,Catalog Binders with Expanding Posts,Small Box,0.4,2027-01-01,0
816,5891,2026-12-28,Média,44.45,0.01,Aéreo Normal,-17.457,20.98,1.49,Art Foster,João Pessoa,80126,Paraíba,Nordeste,Brasil,Escritório em Casa,Material de Escritório,Capas e Acessórios,Avery Legal 4-Ring Binder,Small Box,0.35,2026-12-31,0
1876,13507,2026-12-29,Média,176.1,0.09,Aéreo Normal,-75.71,6.78,6.18,Anna Andreadi,Belém,60110,Pará,Norte,Brasil,Pequenas Empresas,Material de Escritório,Papel,Strathmore Photo Mount Cards,Small Box,0.39,2027-01-03,0
3583,25542,2026-12-30,Baixa,257.46,0.09,Aéreo Rápido,-18.66,7.28,4.23,Matt Hagelstein,Formosa,76543,Goiás,Centro-Oeste,Brasil,Escritório em Casa,Material de Escritório,Papel,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Wrap Bag,0.39,2027-01-05,0
4008,28611,2026-12-27,Baixa,15337.58,0.1,Aéreo Normal,6670.409,525.98,19.99,Alan Haines,São Paulo,14150,São Paulo,Sudeste,Brasil,Consumidor,Material de Escritório,Capas e Acessórios,GBC DocuBind 300 Electric Binding Machine,Small Box,0.37,2026-12-31,0
4100,29216,2026-12-29,Crítica,1936.45,0.1,Aéreo Normal,307.17,43.22,4.0,Jennifer Jackson,Porto Alegre,38637,Rio Grande do Sul,Sul,Brasil,Escritório em Casa,Tecnologia,Periféricos,"Fellowes Mobile Numeric Keypad, Graphite",Small Box,0.64,2027-01-05,0
4101,29216,2026-12-29,Crítica,3711.04,0.04,Transporte Rodoviário,-773.78,218.75,69.64,Jennifer Jackson,Porto Alegre,38637,Rio Grande do Sul,Sul,Brasil,Escritório em Casa,Mobiliário,Mesas,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,0.77,2027-01-04,0
6361,45127,2026-12-30,Média,14.15,0.1,Aéreo Normal,-1.29,1.48,0.7,Theresa Swint,Maringá,33569,Paraná,Sul,Brasil,Consumidor,Material de Escritório,Elásticos,Binder Clips by OIC,Wrap Bag,0.37,2027-01-02,1
6712,47815,2026-12-30,Não Especificada,580.96,0.08,Aéreo Normal,-33.47,13.73,6.85,Jim Epp,Barros Cassal,22901,Rio Grande do Sul,Sul,Brasil,Pequenas Empresas,Mobiliário,Mobiliário de Escritório,DAX Wood Document Frame.,Wrap Bag,0.54,2027-01-02,0
6915,49344,2026-12-30,Baixa,672.93,0.0,Aéreo Normal,27.85,19.98,4.0,Maribeth Yedwab,Florianópolis,40356,Santa Catarina,Sul,Brasil,Escritório em Casa,Tecnologia,Periféricos,Belkin 105-Key Black Keyboard,Small Box,0.68,2027-01-05,0
6916,49344,2026-12-30,Baixa,803.33,0.09,Aéreo Normal,-745.2,832.81,24.49,Maribeth Yedwab,Florianópolis,40356,Santa Catarina,Sul,Brasil,Escritório em Casa,Material de Escritório,"Tesouras, réguas e aparadores",Martin Yale Chadless Opener Electric Letter Opener,Medium Box,0.83,2027-01-05,0
